[array([ 61., 107.]), [np.float64(53.27360767799521), np.float64(11.175387320897038), 54]]
[array([ 61., 106.]), [np.float64(53.27361545197263), np.float64(11.175386712406633), 54]]
[array([ 61., 105.]), [np.float64(53.27362322603752), np.float64(11.175386103909378), 54]]
[[0, 0], [0, 0, 0]]
[array([ 67., 389.]), [np.float64(53.271416927450716), np.float64(11.175481227640859), 55]]
[array([ 68., 389.]), [np.float64(53.271416598357995), np.float64(11.17546832133691), 55]]
[array([ 69., 389.]), [np.float64(53.27141626923727), np.float64(11.17545541393459), 55]]
[array([ 69., 390.]), [np.float64(53.27140851733369), np.float64(11.175456021278437), 55]]
[array([ 69., 391.]), [np.float64(53.27140076551722), np.float64(11.175456628615459), 55]]
[array([ 69., 392.]), [np.float64(53.27139301378788), np.float64(11.175457235945657), 55]]
[array([ 68., 393.]), [np.float64(53.271385592578284), np.float64(11.175470750277881), 55]]
[array([ 67., 393.]), [np.float64(53.271385922982816), np.float64(11.175483656188423), 55]]
[array([ 67., 392.]), [np.float64(53.271393673969136), np.float64(11.175483049061766), 55]]
[array([ 67., 391.]), [np.float64(53.27140142504256), np.float64(11.175482441928287), 55]]
[array([ 67., 390.]), [np.float64(53.27140917620308), np.float64(11.175481834787982), 55]]
[array([ 67., 389.]), [np.float64(53.271416927450716), np.float64(11.175481227640859), 55]]
[[0, 0], [0, 0, 0]]
[array([ 74., 389.]), [np.float64(53.27141462321342), np.float64(11.175390860442512), 55]]
[array([ 75., 388.]), [np.float64(53.27142204788386), np.float64(11.17537733850582), 55]]
[array([ 76., 388.]), [np.float64(53.27142171889518), np.float64(11.175364423312502), 55]]
[array([ 76., 389.]), [np.float64(53.27141396460771), np.float64(11.175365031352174), 55]]
[array([ 75., 389.]), [np.float64(53.27141429392458), np.float64(11.17537794644702), 55]]
[array([ 74., 389.]), [np.float64(53.27141462321342), np.float64(11.175390860442512), 55]]
[[0, 0], [0, 0, 0]]
[array([ 79., 263.]), [np.float64(53.27239082793467), np.float64(11.175249575337247), 55]]
[array([ 80., 264.]), [np.float64(53.272382773418045), np.float64(11.175237252707486), 55]]
[array([ 79., 264.]), [np.float64(53.272383061751576), np.float64(11.175250184528286), 55]]
[array([ 79., 263.]), [np.float64(53.27239082793467), np.float64(11.175249575337247), 55]]
[[0, 0], [0, 0, 0]]
[array([ 79., 395.]), [np.float64(53.27136644668655), np.float64(11.17532992933754), 55]]
[array([ 80., 395.]), [np.float64(53.27136611528783), np.float64(11.17531701043503), 55]]
[array([ 81., 395.]), [np.float64(53.271365783860915), np.float64(11.175304090432553), 55]]
[array([ 82., 396.]), [np.float64(53.27135769675903), np.float64(11.175291777912872), 55]]
[array([ 82., 397.]), [np.float64(53.271349941199496), np.float64(11.175292386488936), 55]]
[array([ 81., 397.]), [np.float64(53.27135027331125), np.float64(11.175305307394423), 55]]
[array([ 79., 395.]), [np.float64(53.27136644668655), np.float64(11.17532992933754), 55]]
[[0, 0], [0, 0, 0]]
[array([ 87., 140.]), [np.float64(53.27334475506467), np.float64(11.175071009053969), 54]]
[array([ 87., 141.]), [np.float64(53.27333697548082), np.float64(11.17507161988038), 54]]
[array([ 88., 141.]), [np.float64(53.273336727529454), np.float64(11.175058667074904), 54]]
[array([ 89., 141.]), [np.float64(53.273336479556946), np.float64(11.175045713164616), 54]]
[array([ 90., 140.]), [np.float64(53.27334401213834), np.float64(11.175032147025934), 54]]
[array([ 90., 139.]), [np.float64(53.27335179280102), np.float64(11.175031535895608), 54]]
[array([ 89., 139.]), [np.float64(53.27335204013383), np.float64(11.175044491108896), 54]]
[array([ 88., 139.]), [np.float64(53.273352287445526), np.float64(11.175057445217204), 54]]
[array([ 87., 140.]), [np.float64(53.27334475506467), np.float64(11.175071009053969), 54]]
[[0, 0], [0, 0, 0]]
[array([ 87., 309.]), [np.float64(53.272031248072935), np.float64(11.175174141146742), 55]]
[array([ 88., 308.]), [np.float64(53.27203870993861), np.float64(11.175160595181485), 55]]
[array([ 92., 305.]), [np.float64(53.2720607977207), np.float64(11.175107008444659), 55]]
[array([ 93., 304.]), [np.float64(53.27206826276988), np.float64(11.175093456049424), 55]]
[array([ 94., 304.]), [np.float64(53.27206796091332), np.float64(11.175080512744744), 55]]
[array([ 95., 304.]), [np.float64(53.272067659031016), np.float64(11.175067568336795), 55]]
[array([ 96., 304.]), [np.float64(53.272067357122985), np.float64(11.175054622825435), 55]]
[array([ 97., 304.]), [np.float64(53.27206705518921), np.float64(11.175041676210528), 55]]
[array([ 97., 305.]), [np.float64(53.27205928666246), np.float64(11.175042286898545), 55]]
[array([ 97., 306.]), [np.float64(53.27205151822316), np.float64(11.175042897579686), 55]]
[array([ 97., 307.]), [np.float64(53.27204374987131), np.float64(11.175043508253955), 55]]
[array([ 97., 308.]), [np.float64(53.272035981606905), np.float64(11.175044118921349), 55]]
[array([ 96., 309.]), [np.float64(53.27202851701065), np.float64(11.175057675702305), 55]]
[array([ 95., 310.]), [np.float64(53.272021053134665), np.float64(11.17507123117515), 55]]
[array([ 91., 313.]), [np.float64(53.27199897059549), np.float64(11.175124829956093), 55]]
[array([ 90., 313.]), [np.float64(53.27199927533773), np.float64(11.17513776906259), 55]]
[array([ 89., 313.]), [np.float64(53.271999580054), np.float64(11.175150707066518), 55]]
[array([ 88., 312.]), [np.float64(53.27200764960841), np.float64(11.17516303422443), 55]]
[array([ 87., 311.]), [np.float64(53.27201571856605), np.float64(11.1751753604707), 55]]
[array([ 87., 310.]), [np.float64(53.27202348327581), np.float64(11.175174750812152), 55]]
[array([ 87., 309.]), [np.float64(53.272031248072935), np.float64(11.175174141146742), 55]]
[[0, 0], [0, 0, 0]]
[array([ 90., 396.]), [np.float64(53.27135504147403), np.float64(11.17518837026034), 55]]
